,question,answer
10,"Regarding My Business Account,If I prefer using this service, can I stop receiving my monthly paper statements?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What are the provincial partners that can be used to access My Account?How do I register for My Business Account?"
11,"Regarding My Business Account,When I make a payment to my account, how long will it take to appear on my Account Balance?","Bot sentYou can register for My Business Account using one of two ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)

or

create a CRA user ID and password. CRA will mail or email you a security code that you will need to access your account information.

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
Please answer this short survey about your experience using Charlie the Chatbot.
"
12,"Regarding My Business Account,How do I get more Remittance Vouchers?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get a QR code ?How do I register for My Business Account?Is there an automated phone line to get information?"
13,"Regarding My Business Account,What if I need more information than what is displayed on my Account Balance?","Bot sentYou can register for My Business Account using one of two ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)

or

create a CRA user ID and password. CRA will mail or email you a security code that you will need to access your account information.

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
Please answer this short survey about your experience using Charlie the Chatbot.
"
14,"Regarding My Business Account,Can I print the information from my Account Balance?","Bot sentHere’s the information I could find regarding Tax-Free Savings Account :
TFSA limitWho is eligible to open TFSA"
15,"Regarding My Business Account,Is the balance information that is displayed considered official Canada Revenue Agency documentation?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I register for My Business Account?What is CRA?"
16,"Regarding My Business Account,Where can I find definitions of the terminology used on my Account Balance?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I register for My Business Account?Where do I register for My Account?"
17,"Regarding My Business Account,In what situations would GST/HST affect payroll?","Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
18,"Regarding My Business Account,Is GST charged when invoicing a live out allowance (an LOA)? A mine sells to a contractor, who we have a contract with as a subcontractor. We invoice our services and live out allowances. We have been charging them GST and will send it to the CRA. When working for other contractors, they have sent the GST to the CRA, because they told us it would be considered in lining otherwise. Clarification would be much appreciated.","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe goods and services tax/harmonized sales tax (GST/HST) credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay. See GST/HST credit- Overview
"
19,"Regarding My Business Account,How is GST/HST calculated for an automobile taxable benefit in the auto industry—such as a dealership, for management and salespersons who drive demos throughout the year? Is it a different formula from the normal 5% rate in Alberta?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
20,"Regarding My Business Account,Which employee benefits should be charged GST/HST?","Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
21,"Regarding My Business Account,What are the GST implications on payroll items that are a reimbursement (with a receipt) versus an allotment (flat amount paid, but no receipt required)?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Pay with online bankingGST/HST creditIs there an automated phone line to get information?"
22,"Regarding My Business Account,What about Ontario’s 8% tax on insurance? Should that be included in the amount of a taxable benefit? What about in the case of Long term disability insurance?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentEmployment Insurance
Benefits received:
Your Employment Insurance (EI) benefits you received as income are shown on a T4E slip and reported on line 11900. For more information, see Line 11900 – Employment insurance and other benefits.
Premiums Paid:
The employment insurance premiums you pay are based on your insurable earnings. Your insurable earnings are shown in box 24 of your T4 Slip and reported on Line 31200. For more information, see Line 31200 - Employment Insurance premiums through employment.
If you are self-employed see Line 31217 - Employment Insurance premiums on self-employment.
If you would like to apply for Employment Insurance benefits including maternity and parental benefits or submit your required EI report, please visit Service Canada for more information.
"
23,"Regarding My Business Account,When evaluating the amount of a taxable benefit, should GST/HST be included in the amount? Does it make a difference if the employer is a charity not registered for GST/HST, but the charity claims a rebate?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
24,"Regarding My Business Account,Is GST/HST applied on monthly, ongoing, taxable benefits for the use of a company vehicle?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Pay with pre-authorized debit for GST/HSTGST/HST creditCan I register for a GST/HST account?"
25,"Regarding My Business Account,What is the tax treatment on meal benefits? In the cinema industry, we pay a caterer to prepare meals for our technicians. The cost of a caterer is added to the technician’s pay as a taxable benefit. Most of the technicians are employees, but some are self-employed subcontractors.","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
GST/HST creditPay with pre-authorized debitHow do I apply for child care benefits?"
26,"Regarding My Business Account,My employee submitted a gym membership receipt for 50% co-pay reimbursement: $50.00 + $7.50 HST = $57.50. Would my employee's taxable benefit be $28.75, and could the company claim $3.75 HST as an input tax credit?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Pay with pre-authorized debit for GST/HSTAm I eligible to send documents online?GST/HST credit"
27,"Regarding My Business Account,Are we required to include GST/HST on taxable benefits for retirees based on the province they reside in?","Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
28,"Regarding My Business Account,Are there any HST implications on non-taxable meal allowances?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can I register for a GST/HST account?Pay with pre-authorized debit for GST/HSTAre there requirements for a TFSA?"
29,"Regarding My Business Account,I filed my goods and services tax/harmonized sales tax (GST/HST) return, rebate, or election electronically, do I need to send a paper copy?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe goods and services tax/harmonized sales tax (GST/HST) credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay. See GST/HST credit- Overview
"
30,"Regarding My Business Account,How do I request direct deposit?","Bot sentYou can set up direct deposit or update your banking information several ways:

Individuals can make changes online in MyAccount for Individuals or MyCRA, by phone or through many financial institutions.
Businesses can make the changes online through My Business Account or through many financial institutions.
Trusts and non-residents can only make the changes by mail.

"
31,"Regarding My Business Account,How do I get more remittance vouchers?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get a QR code ?How do I register for My Business Account?Is there an automated phone line to get information?"
32,"Regarding My Business Account,How can I correct a payment that was allocated to the wrong period?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I register for My Business Account?What payment methods do you accept?"
33,"Regarding My Business Account,I made an error when filling out my GST/HST return. How can I correct it?","Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
34,"Regarding My Business Account,How do I change my fiscal year?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I register for My Business Account?What payment methods do you accept?"
35,"Regarding My Business Account,I sent in my GST/HST election. Has it been approved?","Bot sentYou can open a GST/HST account online, by phone, or by mail.
"
36,"Regarding My Business Account,Who has to make instalments payments?","Bot sentTax instalments are payments you make throughout the year to cover the taxes you normally pay in one lump sum on April 30 of the following year. You pay these instalments during the year while you are earning the income, similar to how an employer deducts tax directly from each pay period.
You may have to pay tax instalments for next year’s taxes, if your net tax owing is more than $3,000 (for Quebec $1,800) for the current year and in the previous two years.
See Required tax intalments for individuals: Who has to Pay for more information.
You have 3 options to calculate your instalment payments which could help reduce or eliminate the amounts you need to pay. For more information, see Options to calculate.
Most individuals who have to pay tax instalments for the current year are required to pay by these payment due dates: March 15, June 15, September 15, December 15. For more information, see Payment due dates.
How do I make an instalment payment?"
37,"Regarding My Business Account,How do I calculate my instalments?","Bot sentTax instalments are payments you make throughout the year to cover the taxes you normally pay in one lump sum on April 30 of the following year. You pay these instalments during the year while you are earning the income, similar to how an employer deducts tax directly from each pay period.
You may have to pay tax instalments for next year’s taxes, if your net tax owing is more than $3,000 (for Quebec $1,800) for the current year and in the previous two years.
See Required tax intalments for individuals: Who has to Pay for more information.
You have 3 options to calculate your instalment payments which could help reduce or eliminate the amounts you need to pay. For more information, see Options to calculate.
Most individuals who have to pay tax instalments for the current year are required to pay by these payment due dates: March 15, June 15, September 15, December 15. For more information, see Payment due dates.
How do I make an instalment payment?"
38,"Regarding My Business Account,Why was I charged instalment interest?","Bot sentTax instalments are payments you make throughout the year to cover the taxes you normally pay in one lump sum on April 30 of the following year. You pay these instalments during the year while you are earning the income, similar to how an employer deducts tax directly from each pay period.
You may have to pay tax instalments for next year’s taxes, if your net tax owing is more than $3,000 (for Quebec $1,800) for the current year and in the previous two years.
See Required tax intalments for individuals: Who has to Pay for more information.
You have 3 options to calculate your instalment payments which could help reduce or eliminate the amounts you need to pay. For more information, see Options to calculate.
Most individuals who have to pay tax instalments for the current year are required to pay by these payment due dates: March 15, June 15, September 15, December 15. For more information, see Payment due dates.
How do I make an instalment payment?"
39,"Regarding My Business Account,How do I request an access code?","Bot sentYou can register for My Business Account using one of two ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)

or

create a CRA user ID and password. CRA will mail or email you a security code that you will need to access your account information.

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
Please answer this short survey about your experience using Charlie the Chatbot.
"
40,"Regarding My Business Account,I am a builder. I sent in Form GST190, GST/HST New Housing Rebate Application for Houses Purchased from a Builder. Why haven’t I received my rebate?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe one-time top-up to the Canada Housing Benefit aims to help low-income renters with the cost of renting. You may be eligible for a tax-free one-time payment of $500 if your income and the amount that you pay on rent qualify.
Applications are open until Friday, March 31, 2023.
For more information, see One-time top-up to the Canadian Housing Benefit.
Who can apply Get ready to apply How to apply When to expect your paymentImpact on your other benefitsIf your application is selected for review"
41,"Regarding Requirement To Pay (RTP),What is an RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?Pay your debt over timePay on a mobile device"
42,"Regarding Requirement To Pay (RTP),Under what statutes can the CRA issue an RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What happens if I can't  pay my taxes?Are there requirements for a TFSA?Can the CRA garnish my wages?"
43,"Regarding Requirement To Pay (RTP),Why do I have to send money to the CRA instead of the taxpayer?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can the CRA garnish my wages?When will I get my refund?What payment methods do you accept?"
44,"Regarding Requirement To Pay (RTP),Can the taxpayer pursue me financially if I send money to the CRA as a result of the RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
When will I get my refund?Can the CRA garnish my wages?Pay with online banking"
45,"Regarding Requirement To Pay (RTP),The RTP tells me to pay any “money,” I would otherwise pay the taxpayer, to the CRA. What is money?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What payment methods do you accept?Pay your debt over timePay with pre-authorized debit"
46,"Regarding Requirement To Pay (RTP),I received an RTP. Do I need to tell the taxpayer I received it?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I change my return?How do I claim employment insurance benefits or premiums?"
47,"Regarding Requirement To Pay (RTP),I received an RTP. How do I respond?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I claim Canada Pension Plan benefits?How do I get the Climate action incentive payment?"
48,"Regarding Requirement To Pay (RTP),I received an RTP. When must I pay the CRA?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can the CRA garnish my wages?Pay with pre-authorized debitDo I need to pay instalments?"
49,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for situations involving employers and employees for all provinces except Quebec?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Pay with online bankingPay your debt over timeCan I use the Payroll Deductions Online Calculator?"
50,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for the province of Quebec?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What happens if I can't  pay my taxes?Pay with online bankingCan the CRA garnish my wages?"
51,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for situations involving financial institutions?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Pay your debt over timePay in personPay at a branch location"
52,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What happens if I can't  pay my taxes?What payment methods do you accept?Do I need to pay instalments?"
53,"Regarding Requirement To Pay (RTP),How do I pay?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What payment methods do you accept?Do I need to pay instalments?Pay with online banking"
54,"Regarding Requirement To Pay (RTP),How long is the RTP in effect?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
When will I get my NOA?Are there requirements for a TFSA?What payment methods do you accept?"
55,"Regarding Requirement To Pay (RTP),When do my obligations under the RTP end?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I apply for child care benefits?When will I get my NOA?Are there requirements for a TFSA?"
56,"Regarding Requirement To Pay (RTP),Does the CRA pay any costs I incur to comply with the RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can the CRA garnish my wages?Are there requirements for a TFSA?Pay by mail"
57,"Regarding Requirement To Pay (RTP),What happens if I do not comply with the RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?Pay with online bankingCan the CRA garnish my wages?"
58,"Regarding Requirement To Pay (RTP),What if I have already sent a payment when I receive the withdrawal of the RTP?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
How do I get the Climate action incentive payment?Pay with pre-authorized debitWhy do I need to file?"
59,"Regarding Requirement To Pay (RTP),What if I make a mistake and paid more than I am required to pay?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can the CRA garnish my wages?Pay your debt over timeAre there requirements for a TFSA?"
60,"Regarding Requirement To Pay (RTP),Can an RTP apply to a house, a car, jewellery, or other non-liquid assets? Do these assets have to be sold to pay the RTP?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Can I use the Non-Resident Tax Calculator?Can the CRA garnish my wages?Pay by mail"
61,"Regarding Requirement To Pay (RTP),Can an RTP apply to investments?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Are there requirements for a TFSA?How do I apply for child care benefits?Can the CRA garnish my wages?"
62,How do we claim working from home expenses during this time for employees and employers?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
63,"I hired a self-employed individual to help out with my personal residences or needs. Do I need to fill out a T4 and T4A? If so, do I need a second payroll account for both?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentYou should get your T4 slip from your employer by the end of February. If you didn’t get one, or lost it, ask your employer, or the issuer, for a copy.
If you can’t get it in time to file your taxes, you may be able to get a copy of your tax slips from My Account.
"
64,"I am a Sole Proprietor and paid an independent contractor about $1,800 for labour and supplies. Do I need to submit a T4A?","Bot sentA sole proprietorship is an unincorporated business that is owned by one person.
The owner has sole responsibility for making decisions, receives all the profits, claims all losses, and does not have separate legal status from the business.
If you’re a sole proprietor, you also assume all the risks of the business, which even extend to your personal property and assets.
"
65,"For any payments made as a management fee, is a T4A required?","Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
What payment methods do you accept?What documents are needed for support payments?Pay with third party service"
66,What changes were made to the T4? What do these changes mean?,"Bot sentYou said: What changes were made to the T4? What do these changes mean?. Sorry, I don’t understand your question. Can you please ask it in a different way?
"
67,"If an employee was not paid in the newly stipulated periods, should we fill in as zero for boxes 57 to 60?","You said: If an employee was not paid in the newly stipulated periods, should we fill in as zero for boxes 57 to 60?. Sorry, I don't understand your question. Can you please ask it in a different way?
You said: If an employee was not paid in the newly stipulated periods, should we fill in as zero for boxes 57 to 60?. Sorry, I don’t understand your question. Can you please ask it in a different way?
"
68,"If staff were hired in March and worked from March to April but were paid in May, in which box should I note the amounts?","You said: If staff were hired in March and worked from March to April but were paid in May, in which box should I note the amounts?. Sorry, I don't understand your question. Can you please ask it in a different way?
You said: If staff were hired in March and worked from March to April but were paid in May, in which box should I note the amounts?. Sorry, I don’t understand your question. Can you please ask it in a different way?
"
69,"On the T4 slips there are boxes 57, 58, 59, 60, which are for the wage subsidy. I have two employees that are reporting numbers in all boxes. However, I have some that have numbers only in two boxes or three. Should I report zero in boxes that have no subsidy?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
70,"Since CEWS is reported on the accrual method, should the boxes 57-60 then also be reported in this way or can it be done on the cash basis?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
71,"We are on a monthly payroll, where payment is made on the last day of the month. How would you record the breakdown of employment income for Code 57-60 for COVID-19 pay periods? Do you divide the monthly salary by 4 weeks then multiply the weekly salary by the number of weeks in each period?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
72,Our organization did not apply for the CEWS. Do we need to do we need to fill out codes 57-60 on the T4 slips?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
73,"Regarding 10% Temporary Wage Subsidy and the PD27 form, must an employer file a PD27 even if no deductions to income tax were taken?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
74,"Regarding 10% Temporary Wage Subsidy and the PD27 form, our organization applied the Temporary Wage Subsidy or TWS through a reduction in remitted payroll taxes. How should we report this in our T4 summary?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
75,"Regarding 10% Temporary Wage Subsidy and the PD27 form, do we claim the 10% wage subsidy as income if we receive it?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
76,"Regarding 10% Temporary Wage Subsidy and the PD27 form, is it required for businesses to apply a 10% subsidy?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
77,"Regarding 10% Temporary Wage Subsidy and the PD27 form, under ‘Rep a client' under the payroll section there is a tab for the 10% Temp Wage Subsidy. Is this the same as the PD27 form so that I can fill it out there or do I have to do the PD27 and then send it in?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
78,"Regarding 10% Temporary Wage Subsidy and the PD27 form, if you elected to receive the CEWS but not the Temporary Wage Subsidy, should you still file a PD27?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
79,"Regarding 10% Temporary Wage Subsidy and the PD27 form, should box 82 be used for TWS received?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
80,Where can I apply for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
81,"Can I apply for the CERB over the phone, or only online?  What if I don’t have access to a computer at my house and I must self-isolate?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
82,Under what circumstances can I apply for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
83,How do I know whether to apply for EI benefits or the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
84,"If I am already receiving EI regular benefits, should I reapply for the CERB?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
85,"I have applied for EI regular or sickness benefits, but my claim hasn’t been processed yet, do I need to reapply for the CERB?","Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
86,What if I stopped working before March 15th but only applied for EI after March 15th – which benefit will I receive?,"Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
87,Do I need to provide any documentation when I apply for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
88,Do I need a medical certificate to receive the CERB if I am in quarantine or sick from COVID-19?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
89,Is a Record of Employment required to apply for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
90,What are the eligibility criteria for the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
91,Does eligibility for the Canada Emergency Response Benefit (CERB) now include a requirement to seek and accept work opportunities or to return to work when requested by your employer?,"Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
92,Do I need to be laid off to access the CERB?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
93,Can you receive the CERB if you are not a citizen or permanent resident?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
